,cleaned_job_role,cleaned_job_description,cleaned_skills,skills_extracted
10,Inside Sales Executive,"Gytree.com is looking forentrepreneurial individuals to join our Sales team, who are passionate about working for womens health and well-being. This role involves interacting with women, communicating the vision and mission of the organisation, and explaining how we can help them. You play a role in acquiring and retaining new customers. English speaking skills and excellent communication are a MUST. The candidate must have a strong sense of how many leads they can process per month, what conversion ratios they maintain and how they work on improving those conversion ratios, with guidance from team lead.Requirements:2-3 years of experience in Inside salesPrior healthcare experience preferredExcellent communication skillsExcellent with follow-upMust be a good listener, and lend an empathetic earPassionate about helping womenAbout the role:1. We are looking for an entrepreneurial Inside Sales TeamExecutiveto join Gytree, a rapidly growing women's health tech start-up.2. You will be responsible to work with the Inside Sales team to increase conversion rates and support the team in day-to-day activities.3. Directly calling customers/leads to conversion and understanding reasons for not converting.4. Follow up with leads over WhatsApp and phone and keep leads warm with strategic reconnection.5. Interacting with customers via Whatsapp through the CRM platform5. Identifying different systems/process changes Gytree can make to increase the likelihood of conversionCompensation: Competitive. Incentive structures included.Rs 35000-55000 + incentives, based on experience.Gytree is looking for women who are driven to achieve results, creative about crafting solutions that women need, have an understanding of healthcare and are excited about playing a key role in a young, rapidly growing company.",spoken english|Excel|CRM Management|empathy,"['Gytree.com', 'Inside', 'earPassionate', 'Gytree', 'WhatsApp', 'Gytree', 'Gytree']"
11,Developer Test,Test job please ignore this,test,[]
12,"Manager - Risk & Analytics, Underwriting","Onsurity is a rapidly growing employee healthcarebenefits platform that provides flexible and customised healthcare subscriptions for SMEs,start-ups, and enterprises. We believe that access to healthcare benefitsshouldnt be a luxury. It is this philosophy that has strengthened ourcommitmenttowardsmakinghealthcareaffordable and accessiblefor all. Our subscriptions include discounts on medicine orders, health checkups, fitness plans, free doctor teleconsultations, and insurance, among other benefits.We believe in inclusivity which meansour plansare notlimited to full-time employees. Wealsocovercontractual workers, interns, freelancers, and consultants. We encourage you toread more about usonwww.onsurity.com. You can also find us onLinkedIn,Instagram, and YouTube.What you will doBe responsible for corporate medical underwritingEvaluate medical, financial, and non-medical information to determine the risk classification according to company guidelinesReviews evidence on proposal sheet and past medical claim records to appropriately recommend & taken decisions on issuance (standard or altered terms) or declinationas per authority matrixWork with various internal teams as a SPOC of Underwriting in the process of designing workflow for group customers & would be responsible for documenting underwriting requirements.Conduct market research/ market requirement study on Underwriting practices and availability of products and benefits.Who we are looking for.2-3 years of Medical Underwriting experience in Health InsuranceSound medical & insurance knowledgeFocus on quality, accuracy, and productivityInsurance related qualifications will be an added advantageWhats in it for you.Tremendously impactful role that provides an opportunity to grow and be part ofOnsurity s leadership team for health businessOwnership and satisfaction of building strategy and executing while solving problems of scale, consumer satisfaction and product flexibilityConvenient work location in Bellandur layout, Bangalore with a smart, inclusive team of experienced colleagues, working alongside a young, dynamic product and technology team",Group health Insurance,"['Wealsocovercontractual', 'Instagram', 'YouTube', 'group customers &', 'Medical Underwriting', 'Health InsuranceSound medical & insurance knowledgeFocus']"
13,Warehouse Manager,"Responsibilities: Strategically plan and manage warehouse operations with efficiency, customersatisfaction being the primary goal, by supervising, organizing, directing, and trainingwarehouse employees Keep track of quality, quantity, stock levels, delivery times, transport costs and efficiency Arrange warehouse, catalog goods, plan routes and process shipments Resolve any arising problems or complaints with best TAT Meet cost, productivity, accuracy and timeliness targets Maintain metrics and analyze data to assess performance and implement improvementsQualifications: Bachelor's/Masters degree with 5+ years of experience in warehouse managementpreferably from ecommerce/d2c industry Attention to details & hands on approach to solving problems Strong analytical and interpersonal skills Self motivated, with a strong bias for execution Ability to work and effectively communicate across functions Excellent business judgment, analytical, and decision-making skills",,[]
14,Frontend Developer,"Responsibilities :Developing new user-facing features using ReactResponsible for development of new reusable components, web-based user interface, and front-end librariesWork closely with product and API teams to synchronize feature roll outWork with product team and graphic designers, translating designs and wireframes to high quality codeDemo development efforts to Product teamEnsure the code builds and deploys properly through Continuous Integration/Continuous Deployment processesWork to maintain tight system integration, catch/fix early bugs, and help steer how our back-end integrates with various web and mobile products for both internal and customer-facing useConduct peer reviews, unit testing, and code reviewsHelp develop & maintain design patterns for clean & usable codebasesFollow Agile & Scrum methodology for software developmentRequirements :Knowledge about React (component lifecycle methods, hooks, state management), Next.js, Async Programming, Units Tests, SASS and REST APIKnowledge about integration via APIsCSS pre-compilers SASS, LESS etc.Build Automation (npm, yarn)Versioning Control (Git)Responsive design and good UI and UX practicesWide domain of pure JavaScript (ES6) and SPA framework (React, Vue)REST APIs (3rd party integrations)Solid experience with React, Hooks, Redux.Preferred Technical and Professional ExpertiseResilience under pressure and against deadlines.Awareness of current trends in design and technology.Bonus, if you have:General knowledge of user usability.Use good UI and UX practices.Basic knowledge of frontend architecture.Basic knowledge in testing (end-to-end, unit) using Jest, Enzyme etc.Operational knowledge (optional): Python, Django, Databases (MongoDB, PostgreSQL etc.)Bonus if you have:Ability to develop software in the system for analysis, statistics and machine learningExperience with cloud vendors such as Microsoft Azure, Amazon AWS or GooglePrevious experience and knowledge of MicroservicesPrevious experience of CI/CD using Jenkins, Docker etc.Strong knowledge of application security and securing the complete solutionExperience in NLP and entity extraction from textExperience using scalable data ingestion and transformation systems in batch and near real-time environmentsExperience with SQL, relational modelling, and big data tools such as Hadoop, Hive, Scope or Spark (experience with Spark is a plus)Experience with ETL, data modelling, and working with Business Intelligence systems",,"['ReactResponsible', 'API', 'Continuous Integration/Continuous Deployment', 'clean &', 'Agile & Scrum', 'Async Programming', 'REST APIKnowledge', 'yarn)Versioning Control', 'UI', 'JavaScript', 'SPA', 'Preferred Technical', 'UI', 'Enzyme', 'Microsoft Azure', 'Amazon AWS', 'GooglePrevious', 'MicroservicesPrevious', 'CI', 'NLP', 'SQL', 'Hadoop', 'Spark', 'ETL', 'Business Intelligence']"
15,Sr Linux Systems Administrator,"Responsibilities:Support customers via inbound call or ticket to resolve routine or novel problems with products or services.Utilize available resources to ensure first contact resolution with accuracy and efficiency.Properly document the customer interaction and confirm the customer understanding, providing additional education as needed.Perform system maintenance, monitoring, security hardening and performance reviews.Communicate effectively with individuals and teams within the company to ensure a high quality and timely resolution of customer issues.Conceptualize and experiment with alternative approaches to support business requirementsConducting reviews of customer infrastructure (servers, web servers, database servers, caching servers, load balancers, etc.)Translating business requirements into infrastructure designDeliver and contributing to system administration documentationPerforming project-based tasks that must be completed on scheduleProvide leadership to others in area of expertiseRequired Skills & Knowledge:Working knowledge of core Internet protocols and services (e.g., IP, TCP, UDP, NTP, DNS, HTTP, SMTP, SSH, syslog) requiredStrong knowledge of LAMP Architectures (PerlPHPPython)Experience and expertise in Linux & subsystems (memory, storage, network) and its fundamentals. CentOS or RedHat Server distributions preferred.In-depth knowledge system instrumentation tools (vmstat; top; atop; strace; tcpdump; Wireshark)In-depth knowledge of hosting automation panels: CPanelIn-depth knowledge of backup utilities: R1soft, VeeamUnderstanding of best practices for server level management and security.Good knowledge of system monitoring tools (New Relic; Zabbix)MySQL AdministrationApache AdministrationKnowledge of BackupRecoveryUpgrade proceduresConfiguration tuningSolid understanding of architectural differences.Possess strong time management skills while prioritizing available work in relation to work needsStrong written & verbal communication skills.Exhibit creative problem-solving skills.Previous experience working with geographically distributed coworkers.Mindset to increase effectiveness through efficiencies and proficiencyAttention to detailExperience:4+ years of supporting Linux Servers within a critical production environment (May betested on appropriate skills as required)Strong knowledge of vulnerability and performance of web application3+ years experience supporting e-commerce platforms (Magento, X-Cart, Pinnacle Cart,and CS-Cart)Experience supporting hardware including but not limited to routers, switchers physicalservers.Experience managing virtual environments (VMware, XEN and OnApp)Experience in scripting (bash, Perl, Python, etc)Experience with replication, clustering, tuning, sizing operating systems running the LAMP stackExperience with automated OS deployment tools and building.Experience with load balancing technologiesExperience with server management control panel technologies.Experience with Configuration Management Tools (Puppet, Chef, Ansible, etc)Acceptable CertificationsRHCSARHCELPIC-3VMCE",,"['Communicate', 'Skills & Knowledge', 'IP', 'TCP', 'UDP', 'NTP', 'DNS', 'HTTP', 'SMTP', 'SSH', 'LAMP Architectures (PerlPHPPython)Experience', 'Linux & subsystems', 'RedHat Server', 'strace', 'needsStrong written & verbal communication', 'Magento', 'Pinnacle Cart', 'VMware', 'XEN', 'Configuration Management Tools']"
16,Product Marketer,"What we expect from youA marketer with 2-5 years of experienceWhen someone asks you why you are in marketing, your answer makes them say Wow, that is a great answer! This person really belongs in marketing!You Are looking to join a company with product market fit and the raw materials for growth (passionate users, great product, large market) but still early enough that you can have an oversized impactYou have experience that is relevant to our domain - Enterprise SaaS, preferably in data and analyticsYouve run high impact programs and campaigns with demonstrable ROIYoure versatile and resourceful enough to figure out how to execute a strategy that employs sub-disciplines in which you have just enough experienceYoure an excellent communicator, are curious, willing to experiment and are analytical in measuring their impactWhat problems will you solveYoull be working closely with product and sales on -Positioning and messaging (define and amplify our who, what, why, how)Content marketing (content frameworks, blogging, video, website, etc.)Customer advocacy program (case studies, testimonials, campaigns, reviews) Integrated communications planning (Email, in-app marketing, etc.) Paid advertisingWell be looking to you for the specific recipe.",,[]
17,Senior Eyewear Designer,"We are looking forA senior eyewear designer whospecializes in creating and designing various types of eyewear, including glasses, sunglasses, and optical accessories. You will beresponsible for developing innovative and aesthetically pleasing designs that not only meet the functional requirements of eyewear but also align with current fashion trends and consumer preferences.You will be responsible toConceptualize eyewear collections based on trends, problem-solving innovations, archetypes, subcultures and fashion-led aesthetics for all Lenskart product brands.Translate concepts into thematic boards, sketches, illustrations and technical drawing with a team of exceptionally talented eyewear designers.Propose collections with in depth consumer research keeping people at the center of the design thinking process.Participate in product and market research to understand the consumer needs and expectations.Incorporate design feedback from internal teams to ensure the range reflects the goal of the team.Coordinate with the category, manufacturing & merchandising team for range plan, proto-sample and final product development.Assist in creating collection design briefs for brand & consumer experience teams.Maintain a design library for all concepts, sketches & technical drawings as per collection/season/categories for all product brands.Maintain all physical samples/chips/hardware for core & trend-setting styles.",B.des or M.des in Fashion / Product / Accessory design from NIFT|NID & other premier design institutes|6 - 8 years of experience in fashion & lifestyle product design / industrial design / CMF design|Software skills: Rhino|Solidworks|Keyshot Pro|Adobe Illustrator & Photoshop.,[]
18,PHP Tech Lead,"The RoleWork as part of an agile team to deliver & improve features for a popular hosting services platform;Report to the Project Manager on the feasibility of upcoming changes & providing accurate timelines of work;Take part in Sprint meeting and identify the challenges;Work closely with service providers to adapt the changes of the component services;Follow Nuventure work culture;Work closely with Other developers in feature rich, iterative product manner;Work closely with our UX team, to build up to standard HTMLCSSJS components;Ensure feature comparability across multiple browsers & platforms;Write clean, unit tested, modular & well-documented code;Identify & address performance issues.Skills & RequirementsAt least 3 years of experience working in the Software industryAdvanced PHP skills and 2+ years of experience working with LAMP stackExperience with PHP frameworks - Laravel and/or Cake PHPComfortable using Linux CLIThorough understanding of API design principlesExperience working with MySQL, RedisBonus PointsExperience working with WHMCS / PluginsPython experienceFamiliar with Docker, containerisation, virtualisation;If you love Linux and have Devops skillsIf you own a blog or domain name;Experience with testing and developing across multiple browsers;Your mindsetYou are keen follower of new technologies and love to do experiments with them;You are very talented to prioritise tasks and quickly adjust in a rapidly changing environment;Your analytic mind can juggle different concepts without losing eye of detail;You have excellent communication & interpersonal skills;You have high passion on what you do.",,"['Sprint', 'HTMLCSSJS', 'Skills & RequirementsAt least', 'Software', 'PHP', 'PHP frameworks - Laravel', 'API']"
19,Store Manager,"About the RoleA Store Manager at Lenskart acts as an important link between strategy and execution. He/she drives the store towardsachieving all assigned metrics of Store Sales, Conversions, Customer satisfaction etc. and is responsible for keeping a high levelof morale among the store staff, developing them, controlling attrition, and ensuring smooth operations at the store.Responsibilities:1.Customer Focus : Driving Net Promoter ScoreGreeting customers when they enter store and coaching the team to do the sameDisplaying commitment towards providing exceptional Customer Service and ensuring thatLenskart associates also treat Customer Satisfaction as a priorityDealing with customer service issues such as queries and complaints at store level and ensuringthis is consistent with the teamStriving to have long lasting and fruitful relationships with each of our customers2.Driving sales vs. plan :Driving the sales of the store to meet the allotted targets by allocating the targets to the staffDeveloping a culture of high sales performance expectations, i.e. Sales LeadershipMotivating and inspiring the field team to drive for resultsAssessing field capability and establish performance priorities at group level3.People development (Attrition Control):Assisting in recruiting and selecting high potential staffProviding effective on-the-job training and guidance to team members making use of company training modulesDelivering clear, motivating and constructive feedback in a timely manner to all retail associatesEvaluating the training needs of store associates and working closely with L&D department to execute the developmental planUnderstanding the reasons for attrition and taking measures to control it4.Cash & Inventory management :Monitoring cash reconciliation to ensure there is no mismatch of store fundsEnsuring availability of required merchandise and servicesConducting stocktakes regularlyEnsuring the staff at store level has basic understanding of POS System to ensure transactions are properly and effectively processedPerforming the necessary quality checks for the new productsWorking very closely with other departments till the product reaches the customer and ensuring the best customer experience to the Lenskart Customers.5.Supervision : Ensuring that all store employees, including the Optometrist, are taken care of and their issues are resolvedEnsuring that the eye check-ups are conducted as per the SOP and maintain high qualitystandards6.SOP adherence & implementation:Ensuring that all SOPs for retail are implemented successfully and adhered to by store employeesUpdating colleagues on business performance, new initiatives and other important issuesScheduling the teams shift timings to meet the stores business needs and demandsEnsuring staffing levels are adequate to effectively operate the store7. Store upkeep & maintenance:Maintaining the store as per Lenskart standards, regularly cleaning the frames and other equipment at the storeEnsuring the security of all Lenskart equipment and that there is no shortage of stock units or damage in the store",Minimum qualification: Graduate|Proactive task ownership|result-orientation|and customer-orientation|Ability to build rapport and trusting relationships|Ability to multitask and organize activities based on priority,"['Lenskart', 'Focus :', 'Customer Service', 'Customer Satisfaction', 'L&D', 'it4.Cash & Inventory', 'POS System', 'SOP', 'store7']"
20,EA to the Founder,"Position Overview:We are seeking a detail-oriented, highly organized, and proactive Executive Assistant to provide exceptional administrative support to our company's founder. The ideal candidate will be a dedicated professional who can manage multiple tasks seamlessly, with a keen sense of discretion and confidentiality.Key Responsibilities:1.Calendar Management:Organize, prioritize, and coordinate the Founder's schedule, ensuring efficient time management.Schedule and confirm appointments, meetings, and travel arrangements.2. Communications:Screen and direct phone calls, inquiries, and requests to the appropriate parties.Draft, proofread, and manage emails, reports, and other documents on the Founder's behalf.3.Meeting Coordination:Prepare materials and logistics for meetings, including taking minutes, setting up video conferencing, or arranging presentations.Follow up on action points from meetings as directed.4.Travel Management:Coordinate travel itineraries, accommodations, and transportation needs.Anticipate and prepare materials needed for conferences, appointments, and meetings.5.Administrative Support:Manage expense reports, ensuring timely submission and accurate record-keeping.Liaise with internal departments and external stakeholders on the Founder's behalf.Handle confidential documents and sensitive information with utmost discretion.Qualifications:Bachelor's degreeA minimum of 1 year of experience in an executive support role.Strong knowledge of office procedures and Microsoft Office Suite.Exceptional organizational skills and multitasking abilities.Strong verbal and written communication skills.Ability to work under pressure and handle confidential matters with discretion.Proactive approach to problem-solving with strong decision-making skills.Benefits:Competitive salaryHealth and wellness benefitsProfessional development opportunities",strong interpersonal skills|good analytical skills|strong soft skills|people managment,"['Key Responsibilities:1.Calendar Management:Organize', 'Founder', 'Draft', 'directed.4.Travel Management', 'Founder', 'Bachelor', 'Microsoft Office Suite']"
